episode,timestep,reward
1999,2000,-0.1941
3999,4000,-0.1902
5999,6000,-0.1852
7999,8000,-0.184
9999,10000,-0.2082
11999,12000,-0.2078
13999,14000,-0.2311
15999,16000,-0.2297
17999,18000,-0.2866
19999,20000,-0.282
21999,22000,-0.2913
23999,24000,-0.2846
25999,26000,-0.2829
27999,28000,-0.2884
29999,30000,-0.285
31999,32000,-0.2815
33999,34000,-0.2795
35999,36000,-0.274
37999,38000,-0.2269
39999,40000,-0.2244
