episode,timestep,reward
5541,590000,437.2859
5544,592000,576.0709
5547,594000,653.9187
5550,596000,498.8238
5553,598000,471.5846
5567,600000,166.3895
5575,602000,227.9168
5583,604000,202.7792
5590,606000,272.4059
5593,608000,481.3174
5603,610000,232.0157
5605,612000,424.247
5611,614000,356.176
5620,616000,225.635
5626,618000,264.4706
5633,620000,261.591
5638,622000,350.437
5643,624000,299.4562
5649,626000,291.1745
5654,628000,369.1478
5660,630000,289.6922
5665,632000,339.4709
5668,634000,404.4516
5673,636000,334.3429
5678,638000,365.0575
5682,640000,297.0777
5686,642000,565.7189
5694,644000,214.0686
5699,646000,293.2041
5702,648000,535.9362
5706,650000,482.5603
5708,652000,593.5938
5712,654000,462.6001
5715,656000,565.3386
5723,658000,213.0903
5728,660000,367.0185
5731,662000,486.2591
5738,664000,270.8919
5746,666000,246.313
5748,668000,680.8905
5753,670000,387.5418
5764,672000,197.9117
5767,674000,452.3926
5773,676000,315.7718
5779,678000,275.4304
5784,680000,328.315
5793,682000,204.8071
5800,684000,296.6927
5803,686000,518.4093
5808,688000,275.6857
5820,690000,166.5216
5824,692000,431.479
5832,694000,254.7608
5834,696000,703.9746
5840,698000,219.9214
5846,700000,374.0598
5850,702000,303.2511
5857,704000,302.5535
5862,706000,380.7283
5868,708000,262.5985
5876,710000,245.3293
5878,712000,705.6905
5884,714000,312.6269
5889,716000,313.2237
5895,718000,298.9867
5899,720000,360.9282
5902,722000,529.4266
5910,724000,268.3416
5914,726000,394.3798
5916,728000,704.5797
5921,730000,325.0262
5924,732000,724.5727
5927,734000,468.095
5931,736000,331.6104
5935,738000,555.3471
5938,740000,489.1567
5940,742000,663.3188
5946,744000,357.152
5951,746000,374.8758
5958,748000,236.6269
5963,750000,358.9353
5968,752000,254.12
5970,754000,820.8655
5973,756000,575.1468
5975,758000,805.7226
5979,760000,473.6258
5982,762000,526.977
5985,764000,575.965
5990,766000,370.8659
5992,768000,785.1377
6000,770000,197.4175
6008,772000,287.1204
6012,774000,471.6531
6016,776000,298.0909
6019,778000,537.7919
6022,780000,608.0807
6025,782000,561.834
6027,784000,815.8902
6035,786000,277.9695
6039,788000,372.3603
6041,790000,803.5474
6044,792000,577.5986
6047,794000,470.4692
6050,796000,658.2159
6052,798000,672.9697
6056,800000,436.7022
6059,802000,547.0716
6062,804000,601.0447
6064,806000,681.2651
6069,808000,349.4095
6074,810000,414.4191
6077,812000,576.3848
6082,814000,334.6367
6086,816000,451.6982
6091,818000,374.2559
6094,820000,419.507
6101,822000,285.1534
6105,824000,425.9396
6107,826000,454.7584
6111,828000,558.8716
6115,830000,415.9729
6118,832000,362.0981
6120,834000,798.9673
6124,836000,515.9126
6130,838000,332.2851
6133,840000,497.8686
6137,842000,297.3769
6149,844000,200.6929
6153,846000,444.7503
6158,848000,216.8358
6160,850000,787.771
6164,852000,452.1854
6168,854000,471.5782
6173,856000,377.5927
6177,858000,313.3007
6179,860000,797.8374
